TOT,pH,NACL,pKa
0.019999273,6.6,0.5,6.041839424
0.019999028,6.6,0,6.113843094
0.020002103,6.4,0.5,6.041218405
0.019998016,6.4,0,6.118610267
0.025005694,6,0.1,5.608625415
0.020016608,6.2,0,6.072848134
0.020001758,6.1,0.5,6.040488569
0.02000206,6.1,0,6.127766788
0.019978188,6,0.5,6.039990832
0.019066577,6,0,6.112967995
0.019997605,5.9,0.5,6.039944564
0.019155202,5.9,0,6.090210292
0.019980013,5.9,1,6.061969724
0.020000744,5.9,0.200034223,6.07935277
0.019987629,5.8,0,6.140926896
0.091448364,6.8,0.229996578,6.106309944
0.099970258,6.6,0.229996578,5.861889671
0.019997776,5.5,0.150068446,6.050057538
0.020013139,5.5,0,6.155506256
0.097348357,6.4,0.400068446,5.934792191
0.100001502,6.4,0,5.978862959
0.099999212,6.5,0,6.099960519
0.099941232,6.3,0.75,6.052197188
0.099999824,6.3,0.225017112,6.08464168
0.100005615,6.2,0,5.994032251
0.094054365,6.2,0.229996578,6.092595638
0.094009974,6.5,0.330082136,6.401790444
0.583375217,6,2,4.925288645
0.09887999,6.2,0.125085558,6.137563696
0.094827111,6,0.5,6.026841879
0.095014208,6,0,6.05896657
0.100034839,6,0.1,6.047597791
0.100030265,6,0.349931554,6.054780586
0.099980871,6,0.225017112,6.078515694
0.099987878,6,0.074948665,6.103641711
0.099960432,5.9,0.75,6.047548111
0.106677154,6,0.295003422,6.089239559
0.09607173,5.8,0.750171116,6.047416483
0.096143709,5.8,0,6.05959834
0.099946077,6,1,6.306149743
0.096719542,5.7,0,6.060504161
0.100010095,5.7,0.75,6.045106599
0.100006737,5.7,0.225017112,6.072464184
0.097795843,5.5,1,6.102781333
0.09791965,5.5,0,6.13336544
0.100001484,5,0,6.148755187
