TOT,NaCl,pH,pKa
0.025,5.844,6,7.09240899
0.025,11.688,6,7.106741778
0.025,17.532,6,7.111048545
0.025,23.376,6,6.951986963
0.025,29.22,6,6.923956233
0.025,35.064,6,6.889833271
0.025,40.908,6,6.849252752
0.025,46.752,6,6.802116482
0.025,52.596,6,6.748448029
0.025,58.44,6,6.692580058
0.05,5.844,6,7.092647822
0.05,11.688,6,7.106944261
0.05,17.532,6,7.110984695
0.05,23.376,6,6.951350737
0.05,29.22,6,6.923128118
0.05,35.064,6,6.888763162
0.05,40.908,6,6.847886788
0.05,46.752,6,6.800389809
0.05,52.596,6,6.746279606
0.05,58.44,6,6.694165955
0.075,5.844,6,7.092892756
0.075,11.688,6,7.10714267
0.075,17.532,6,7.110915525
0.075,23.376,6,6.950709484
0.075,29.22,6,6.922292759
0.075,35.064,6,6.887682996
0.075,40.908,6,6.846506821
0.075,46.752,6,6.79864342
0.075,52.596,6,6.744083106
0.075,58.44,6,6.695757351
0.1,5.844,6,7.093143267
0.1,11.688,6,7.107336963
0.1,17.532,6,7.110841016
0.1,23.376,6,6.950063133
0.1,29.22,6,6.921450057
0.1,35.064,6,6.886592615
0.1,40.908,6,6.845112596
0.1,46.752,6,6.796876891
0.025,5.844,6,7.09240899
0.025,11.688,6,7.106741778
0.025,17.532,6,7.111048545
0.025,23.376,6,6.951986963
0.025,29.22,6,6.923956233
0.025,35.064,6,6.889833271
0.025,40.908,6,6.849252752
0.025,46.752,6,6.802116482
0.025,52.596,6,6.748448029
0.025,58.44,6,6.692580058
0.05,5.844,6,7.092647822
0.05,11.688,6,7.106944261
0.05,17.532,6,7.110984695
0.05,23.376,6,6.951350737
0.05,29.22,6,6.923128118
0.05,35.064,6,6.888763162
0.05,40.908,6,6.847886788
0.05,46.752,6,6.800389809
0.05,52.596,6,6.746279606
0.05,58.44,6,6.694165955
0.075,5.844,6,7.092892756
0.075,11.688,6,7.10714267
0.075,17.532,6,7.110915525
0.075,23.376,6,6.950709484
0.075,29.22,6,6.922292759
0.075,35.064,6,6.887682996
0.075,40.908,6,6.846506821
0.075,46.752,6,6.79864342
0.075,52.596,6,6.744083106
0.075,58.44,6,6.695757351
0.1,5.844,6,7.093143267
0.1,11.688,6,7.107336963
0.1,17.532,6,7.110841016
0.1,23.376,6,6.950063133
0.1,29.22,6,6.921450057
0.1,35.064,6,6.886592615
0.1,40.908,6,6.845112596
0.1,46.752,6,6.796876891
0.1,52.596,6,6.741857821
0.1,58.44,6,6.697353913
0.125,5.844,6,7.093398856
0.125,11.688,6,7.107527102
0.125,17.532,6,7.110761151
0.125,23.376,6,6.94941161
0.125,29.22,6,6.920599908
0.125,35.064,6,6.885491861
0.125,40.908,6,6.843703852
0.125,46.752,6,6.795089786
0.125,52.596,6,6.739603015
0.125,58.44,6,6.698955315
0.15,5.844,6,7.09365905
0.15,11.688,6,7.107713051
0.15,17.532,6,7.110675912
0.15,23.376,6,6.948754842
0.15,29.22,6,6.91974221
0.15,35.064,6,6.884380569
0.15,40.908,6,6.842280318
0.15,46.752,6,6.793281655
0.15,52.596,6,6.737317921
0.15,58.44,6,6.700561239
0.175,5.844,6,7.093923405
0.175,11.688,6,7.107894775
0.175,17.532,6,7.110585282
0.175,23.376,6,6.948092752
0.175,29.22,6,6.918876855
0.175,35.064,6,6.88325857
0.175,40.908,6,6.840841718
0.175,46.752,6,6.791452031
0.175,52.596,6,6.735001742
0.175,58.44,6,6.702171376
0.2,5.844,6,7.094191495
0.2,11.688,6,7.108072239
0.2,17.532,6,7.110489241
0.2,23.376,6,6.947425265
0.2,29.22,6,6.918003735
0.2,35.064,6,6.882125693
0.2,40.908,6,6.839387766
0.2,46.752,6,6.78960043
0.2,52.596,6,6.732653644
0.2,58.44,6,6.703785423
0.225,5.844,6,7.094462922
0.225,11.688,6,7.10824541
0.225,17.532,6,7.11038777
0.225,23.376,6,6.946752305
0.225,29.22,6,6.917122739
0.225,35.064,6,6.88098176
0.225,40.908,6,6.837918168
0.225,46.752,6,6.787726351
0.225,52.596,6,6.730272763
0.225,58.44,6,6.705403085
0.25,5.844,6,7.094737305
0.25,11.688,6,7.108414257
0.25,17.532,6,7.110280849
0.25,23.376,6,6.946073792
0.25,29.22,6,6.916233756
0.25,35.064,6,6.879826589
0.25,40.908,6,6.836432619
0.25,46.752,6,6.785829275
0.25,52.596,6,6.727858195
0.25,58.44,6,6.707024076
0.275,5.844,6,7.095014284
0.275,11.688,6,7.108578749
0.275,17.532,6,7.110168457
0.275,23.376,6,6.945389648
0.275,29.22,6,6.915336667
0.275,35.064,6,6.878659995
0.275,40.908,6,6.834930808
0.275,46.752,6,6.783908664
0.275,52.596,6,6.725408996
0.275,58.44,6,6.708648115
0.3,5.844,6,7.095293517
0.3,11.688,6,7.108738857
0.3,17.532,6,7.110050574
0.3,23.376,6,6.944699791
0.3,29.22,6,6.914431357
0.3,35.064,6,6.877481786
0.3,40.908,6,6.833412411
0.3,46.752,6,6.78196396
0.3,52.596,6,6.722924181
0.3,58.44,6,6.71027493
0.325,5.844,6,7.095574682
0.325,11.688,6,7.108894552
0.325,17.532,6,7.109927179
0.325,23.376,6,6.944004142
0.325,29.22,6,6.913517704
0.325,35.064,6,6.876291765
0.325,40.908,6,6.831877096
0.325,46.752,6,6.779994583
0.325,52.596,6,6.720402721
0.325,58.44,6,6.711904256
0.35,5.844,6,7.095857472
0.35,11.688,6,7.109045806
0.35,17.532,6,7.109798248
0.35,23.376,6,6.943302616
0.35,29.22,6,6.912595586
0.35,35.064,6,6.875089731
0.35,40.908,6,6.830324518
0.35,46.752,6,6.777999932
0.35,52.596,6,6.71784354
0.35,58.44,6,6.713535837
0.375,5.844,6,7.096141594
0.375,11.688,6,7.109192592
0.375,17.532,6,7.10966376
0.375,23.376,6,6.94259513
0.375,29.22,6,6.911664875
0.375,35.064,6,6.873875477
0.375,40.908,6,6.828754323
0.375,46.752,6,6.775979382
0.375,52.596,6,6.715245511
0.375,58.44,6,6.71516942
0.4,5.844,6,7.096426773
0.4,11.688,6,7.109334885
0.4,17.532,6,7.10952369
0.4,23.376,6,6.941881599
0.4,29.22,6,6.910725443
0.4,35.064,6,6.872648789
0.4,40.908,6,6.827166143
0.4,46.752,6,6.773932283
0.4,52.596,6,6.712607453
0.4,58.44,6,6.716804763
0.425,5.844,6,7.096712746
0.425,11.688,6,7.109472659
0.425,17.532,6,7.109378016
0.425,23.376,6,6.941161935
0.425,29.22,6,6.909777159
0.425,35.064,6,6.871409449
0.425,40.908,6,6.825559601
0.425,46.752,6,6.771857961
0.425,52.596,6,6.709928131
0.425,58.44,6,6.71844163
0.45,5.844,6,7.096999264
0.45,11.688,6,7.109605889
0.45,17.532,6,7.109226712
0.45,23.376,6,6.94043605
0.45,29.22,6,6.908819887
0.45,35.064,6,6.870157231
0.45,40.908,6,6.823934303
0.45,46.752,6,6.769755711
0.45,52.596,6,6.707206247
