TOT,pH,NACL,pKa
0.05,5,0,4.656771505
0.1,5,0,4.649972631
0.2,5,0,4.657652761
0.3,5,0,4.551526245
0.4,5,0,4.535897793
0.5,5,0,4.518503417
0.6,5,0,4.49760685
0.7,5,0,4.472004215
0.8,5,0,4.440636508
0.9,5,0,4.402438197
1,5,0,4.356298433
0.1,5,0,4.649972631
0.1,5,0.05,4.654779642
0.1,5,0.1,4.662403541
0.1,5,0.2,4.540749766
0.1,5,0.3,4.518685068
0.1,5,0.4,4.491895182
0.1,5,0.5,4.459013535
0.1,5,0.6,4.419522287
0.1,5,0.7,4.373263042
0.1,5,0.8,4.320251224
0.1,5,0.9,4.260593943
0.1,5,1,4.285272739
0.1,4.9,1,4.283804404
0.1,4.8,0.5,4.462241642
0.1,4.5,0.3,4.524866424
0.1,5.6,0.1,4.665277882
0.1,4.3,0,4.659035466
0.1,3.6,0.25,4.543596292
0.05,5,0,4.656771505
0.02,4.1,1,4.254102784
0.02,5.1,1,4.257651524
0.02,5.1,1,4.257651524
0.01,3.5,0,4.737808596
0.01,3.5,0,4.737808596
0.01,3.6,0,4.735416834
0.01,3.7,0,4.732833362
0.01,3.8,0,4.730064522
0.01,3.9,0,4.727124481
0.01,4,0,4.724036688
0.01,4.1,0,4.720834814
0.01,4.2,0,4.717562774
0.01,4.3,0,4.714273423
0.01,4.4,0,4.711025706
0.01,4.5,0,4.707880373
0.01,4.6,0,4.704894836
0.01,4.7,0,4.702118085
0.01,4.8,0,4.699586687
0.01,4.9,0,4.697322648
0.01,5,0,4.695333363
0.01,5.1,0,4.693613367
0.01,5.2,0,4.692147222
0.01,5.3,0,4.690912805
0.01,5.4,0,4.689884385
0.01,5.5,0,4.689035149
0.01,3.5,0,4.737808596
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
0.001,3.5,0,4.752752889
